Measure,Mean W1,SD W1,Mean W2,SD W2,r (W1–W2),N pairs
"Proposed nodes (LLM, live)",8.30952380952381,1.3710627882365032,8.157142857142857,1.5308850455068115,0.21379152233655185,210
Accepted nodes (on canvas),7.995238095238095,1.4915956551766334,7.819047619047619,1.6209215429622996,0.1737918206294307,210
Supporting edges,6.0095238095238095,3.2103160216340925,5.614285714285714,2.6228268679462583,0.4806061387771073,210
Conflicting edges,3.3190476190476192,2.4471678870845865,3.4523809523809526,2.476708544224084,0.41736548728898537,210
