Topic,Count,Name,Representation,Representative_Docs
-1,750,-1_meat_family_eat_love,"['meat', 'family', 'eat', 'love', 'eating', 'habit', 'eat meat', 'eating meat', 'friends', 'beef']","['Eating meat is a habit', 'I often do not eat any meat', 'Eating meat is a habit for me']"
0,205,0_protein_meat_meat protein_eat meat protein,"['protein', 'meat', 'meat protein', 'eat meat protein', 'eat meat', 'protein meat', 'eat', 'meat meat', 'cut', 'crave']","['I eat meat for protein', 'I eat meat to get protein', 'I eat meat for protein']"
1,161,1_chicken_eat chicken_turkey_fish,"['chicken', 'eat chicken', 'turkey', 'fish', 'chicken turkey', 'prefer', 'chicken fish', 'chicken eat', 'eat', 'prefer chicken']","['I mostly eat chicken', 'I mostly eat chicken', 'I eat chicken most often']"
2,118,2_times_week_week eat_weekly,"['times', 'week', 'week eat', 'weekly', 'meat times', 'eat meat times', 'weekly eat', 'times week', 'times week eat', 'weekly eat meat']","['I eat meat 2-4 times a week', 'I eat meat several times a week', 'I eat meat a few times a week']"
3,104,3_vegetarian_vegan_vegetarian meals_years,"['vegetarian', 'vegan', 'vegetarian meals', 'years', 'vegetarians', 'meals', 'friends', 'vegetarian vegan', 'vegetarian vegetarian', 'vegan vegetarian']","['I am a vegetarian', 'I became vegetarian', 'I am vegetarian']"
4,100,4_health_concerned health_health concerns_concerns,"['health', 'concerned health', 'health concerns', 'concerns', 'concerned', 'motivated health', 'motivated', 'heart', 'health concerned', 'concerned health concerned']","['I am concerned about my health', 'I am concerned about my health', 'I am concerned about my health']"
5,85,5_avoid_avoid eating_pork avoid_processed,"['avoid', 'avoid eating', 'pork avoid', 'processed', 'meats avoid', 'pork', 'avoid processed', 'meats', 'meats avoid eating', 'processed meats avoid']","['I avoid processed meats', 'I avoid processed meats', 'I avoid processed meats']"
6,79,6_protein_want protein_protein want_want,"['protein', 'want protein', 'protein want', 'want', 'want protein want', 'protein want protein', 'need', 'need protein', 'high protein', 'protein diet']","['I want to get enough protein', 'I want to get enough protein', 'I want to get enough protein']"
7,76,7_stopped_stopped eating_meat eat_red meat,"['stopped', 'stopped eating', 'meat eat', 'red meat', 'red', 'eating', 'meat eat red', 'eat red meat', 'eat red', 'reduced']","['I stopped eating meat', 'I stopped eating meat', 'I stopped eating red meat']"
8,70,8_dislike_like_meat dislike_hard,"['dislike', 'like', 'meat dislike', 'hard', 'getting', 'dislike taste', 'dislikes', 'trouble', 'taste', 'difficult']","['I dislike the taste of fish', 'I dislike the taste of beef and pork', 'I dislike the taste of some meats']"
9,70,9_want_healthy_weight want_weight,"['want', 'healthy', 'weight want', 'weight', 'want healthy', 'want healthier', 'healthier', 'healthy want', 'maintain', 'stay']","['I want to maintain a healthy weight', 'I want to be healthy', 'I want to be healthy']"
10,69,10_enjoy taste meat_enjoy taste_taste meat enjoy_meat enjoy taste,"['enjoy taste meat', 'enjoy taste', 'taste meat enjoy', 'meat enjoy taste', 'enjoy', 'taste meat', 'meat enjoy', 'taste', 'flavor', 'enjoy flavor']","['I enjoy the taste of meat', 'I enjoy the taste of meat', 'I enjoy the taste of meat']"
11,63,11_animal_animal welfare_welfare_concerned animal,"['animal', 'animal welfare', 'welfare', 'concerned animal', 'concerned animal welfare', 'welfare concerned', 'animal welfare concerned', 'welfare concerned animal', 'concerned', 'rights']","['I am concerned about animal welfare', 'I am concerned about animal welfare', 'I am concerned about animal welfare']"
12,63,12_meat meals_eat meat meals_people_people know,"['meat meals', 'eat meat meals', 'people', 'people know', 'people know eat', 'know eat', 'know', 'know eat meat', 'eat meat', 'meat people']","['Most people I know eat meat', 'Most people I know eat meat', 'Most people I know eat meat']"
13,61,13_family eats meat_eats_eats meat_regularly,"['family eats meat', 'eats', 'eats meat', 'regularly', 'meat regularly', 'family eats', 'family', 'meat regularly family', 'regularly family', 'eat meat regularly']","['My family eats meat regularly', 'My family eats meat regularly', 'My family eats meat regularly']"
14,61,14_easy_meat easy_meat feels_normal,"['easy', 'meat easy', 'meat feels', 'normal', 'feels', 'healthy', 'eating meat feels', 'natural', 'meat healthy', 'feels normal']","['Meat is easy to cook', 'Eating meat feels normal to me', 'Eating meat feels normal to me']"
15,61,15_red meat_red_limit red meat_limit red,"['red meat', 'red', 'limit red meat', 'limit red', 'cut red meat', 'cut red', 'limit', 'cut', 'red meat consumption', 'eat red']","['I limit red meat consumption', 'I limit red meat consumption', 'I limit red meat consumption']"
16,57,16_day eat_day_eat meat day_meat day eat,"['day eat', 'day', 'eat meat day', 'meat day eat', 'meat day', 'day eat meat', 'daily eat', 'daily', 'meat daily eat', 'meat daily']","['I eat meat every day', 'I eat meat every day', 'I eat meat every day']"
17,56,17_family_tradition_family tradition_eating meat family,"['family', 'tradition', 'family tradition', 'eating meat family', 'meat family', 'meat family tradition', 'eating meat', 'eating', 'meat cultural', 'cultural']","['Eating meat is a family tradition', 'Eating meat is family tradition', 'Eating meat is a family tradition']"
18,54,18_meat meal_meal_eat meat meal_eaten,"['meat meal', 'meal', 'eat meat meal', 'eaten', 'eaten meat', 'know eats', 'know eats meat', 'know', 'eating meat regularly', 'eats meat']","['I eat meat at every meal', 'I eat meat at every meal', 'I eat meat at every meal']"
19,54,19_environmental_concerns_impact_health,"['environmental', 'concerns', 'impact', 'health', 'environmental impact', 'concerned', 'concerns meat', 'environmental impact meat', 'impact meat', 'meat concerned']","['I am concerned about the environmental impact of beef', 'I consider environmental impact of meat', 'I consider environmental impact of meat']"
20,54,20_plantbased_vegetables_eat vegetables_plantbased foods,"['plantbased', 'vegetables', 'eat vegetables', 'plantbased foods', 'eat plantbased', 'foods', 'meals', 'try plantbased', 'eat plantbased foods', 'include plantbased']","['I am trying to eat more vegetables', 'I try to eat more vegetables', 'I eat more vegetables now']"
21,52,21_rarely_rarely eat_meat rarely_meat rarely eat,"['rarely', 'rarely eat', 'meat rarely', 'meat rarely eat', 'meat eat', 'limit meat eat', 'eat', 'limited', 'eat meals', 'eat smaller']","['I rarely eat meat at home', 'I rarely eat beef', 'I rarely eat meat']"
22,49,22_like taste meat_like taste_like_meat like,"['like taste meat', 'like taste', 'like', 'meat like', 'meat like taste', 'taste meat like', 'taste meat', 'taste', 'meat prefer', 'taste meat prefer']","['I like the taste of meat', 'I like the taste of meat', 'I like the taste of meat']"
23,49,23_unhealthy_meat unhealthy_feel_red meat unhealthy,"['unhealthy', 'meat unhealthy', 'feel', 'red meat unhealthy', 'believe', 'red meat', 'red', 'eating animals', 'feel guilty eating', 'believe red meat']","['Red meat is unhealthy', 'I believe red meat is unhealthy', 'I believe red meat is unhealthy']"
24,47,24_expensive_meat expensive_expensive meat_expensive meat expensive,"['expensive', 'meat expensive', 'expensive meat', 'expensive meat expensive', 'meat prices', 'prices', 'meat expensive meat', 'high', 'high meat prices', 'red meat expensive']","['Meat is expensive', 'Meat is sometimes expensive', 'Meat is too expensive']"
25,46,25_enjoy eating_meat enjoy eating_enjoy eating meat_eating meat enjoy,"['enjoy eating', 'meat enjoy eating', 'enjoy eating meat', 'eating meat enjoy', 'meat enjoy', 'enjoy', 'eating meat', 'eating', 'eating meat like', 'meat like']","['I enjoy eating meat', 'I enjoy eating meat', 'I enjoy eating meat']"
