Measure,Mean W1,SD W1,Mean W2,SD W2,r,N
Interview words,456.1142857142857,302.2413818539575,449.8095238095238,331.18170601182266,0.750064128811935,210
"Proposed nodes (LLM, no limit)",9.238095238095237,2.828507678028507,8.895238095238096,3.0870118703265508,0.3809707329966226,210
"Proposed nodes (LLM, live)",8.30952380952381,1.3710627882365027,8.157142857142857,1.5308850455068113,0.21379152233655183,210
Accepted nodes (on canvas),7.995238095238095,1.4915956551766327,7.819047619047619,1.6209215429622996,0.17379182062943072,210
Canvas edges,9.32857142857143,4.5905710371397825,9.066666666666666,4.437264269184038,0.5389405247735306,210
Supporting edges,6.0095238095238095,3.2103160216340934,5.614285714285714,2.6228268679462583,0.48060613877710723,210
Conflicting edges,3.3190476190476192,2.447167887084587,3.4523809523809526,2.4767085442240844,0.41736548728898537,210
