label,remove_outlier_topic,baseline,p_deg01,p_deg2,p_deg34,p_deg5p,delta_deg5p_baseline
01__all-MiniLM-L6-v2__run_20260210_222546_aeba978b,False,0.2995813710099425,0.3465346534653465,,,,
02__qwen3-embedding-0.6b__run_20260210_221633_570b87a6,False,0.44492196878751494,0.5425531914893617,,,,
03__qwen3-embedding-0.6b__run_20260210_221845_49de70a3,False,0.29372856789337864,0.35537190082644626,,,,
04__bert-base-nli-mean-tokens__run_20260210_222655_488612a3,False,0.36131489511309034,0.4157303370786517,,,,
05__all-MiniLM-L6-v2__run_20260210_222351_76cefc5d,False,0.3496553363441883,0.36363636363636365,,,,
06__qwen3-embedding-0.6b__run_20260210_221858_a0d6d680,False,0.4156531126304425,0.4489795918367347,,,,
07__bert-base-nli-mean-tokens__run_20260210_222836_5385f300,False,0.3758950437317783,0.42857142857142855,,,,
08__all-MiniLM-L6-v2__run_20260210_222527_5fffdd10,False,0.39248334145945074,0.44565217391304346,,,,
09__all-MiniLM-L6-v2__run_20260210_222432_3c9714b4,False,0.4508732252795577,0.5189873417721519,,,,
10__all-MiniLM-L6-v2__run_20260210_222517_e0058bf3,False,0.3422595557560041,0.41,,,,
